start_lat,start_lon,end_lat,end_lon,start_area,end_area,distance_meters,duration_seconds,duration_in_traffic_seconds,duration_per_meter
13.2077984,80.1519737,13.2032953,80.1509997,Nallur,Padmasundar Nagar,598,136,135,0.225752508361204
13.2032953,80.1509997,13.1994554,80.1496772,Padmasundar Nagar,Nallur,510,130,130,0.2549019607843137
13.0548939,80.1386572,13.0593595,80.1390628,கருணாநிதி நகர்,Senner Kuppam,506,165,131,0.25889328063241107
13.0536522,80.2664321,13.0540986,80.2617582,Balaji Nagar,Ganapathy Colony,507,60,56,0.11045364891518737
13.0540986,80.2617582,13.0536587,80.2663716,Ganapathy Colony,Balaji Nagar,501,62,61,0.1217564870259481
13.0374342,80.1385601,13.0419137,80.1394124,Mahalakshmi Nagar,Sri Ramachandra Nagar,508,108,114,0.22440944881889763
13.0374342,80.1385601,13.0364671,80.1454089,Mahalakshmi Nagar,Venugopal Nagar,747,101,83,0.1111111111111111
13.0479284,80.0842998,13.0435238,80.0859054,Mahalakshmi Nagar,Poonamallee,520,32,28,0.05384615384615385
13.0435238,80.0859054,13.0391616,80.0871428,Poonamallee,Poonamallee,503,30,25,0.04970178926441352
13.0391616,80.0871428,13.0347895,80.0886213,Poonamallee,Bakthavathsalam Nagar,512,31,25,0.048828125
13.0347895,80.0886213,13.0297791,80.0904876,Bakthavathsalam Nagar,Meppur Village,588,34,29,0.04931972789115646
13.0040416,80.2417213,12.9988819,80.240767,Indian Institute Of Technology,Indian Institute Of Technology,612,110,100,0.16339869281045752
12.9988819,80.240767,12.995396,80.2373937,Indian Institute Of Technology,Indian Institute Of Technology,552,91,84,0.15217391304347827
13.0040416,80.2417213,13.0003544,80.2395489,Indian Institute Of Technology,D Type,514,83,78,0.1517509727626459
13.0003544,80.2395489,12.9966939,80.2371361,D Type,Guindy,518,86,78,0.15057915057915058
12.9966939,80.2371361,12.9934388,80.2340722,Guindy,Indian Institute Of Technology,516,89,87,0.1686046511627907
12.9690341,80.0854571,12.9718453,80.0854552,Thirumudivakkam,Thirumudivakkam,313,48,48,0.15335463258785942
12.9718453,80.0854552,12.9690341,80.0854571,Thirumudivakkam,Thirumudivakkam,313,45,45,0.14376996805111822
12.9707003,80.1536572,12.9673639,80.1510817,Malanganandapuram,Subramaniya,499,162,162,0.3246492985971944
13.1391085,80.227476,13.142037,80.2234687,J Garden,Madhavaram,543,55,43,0.07918968692449356
13.0281511,80.1710987,13.0256778,80.1755515,Venkateshwara Nagar,Park Dugar,555,83,73,0.13153153153153152
13.176984,80.313257,13.1784974,80.3076874,Palagai Thotti Kuppam,Gandhi Nagar,627,92,79,0.12599681020733652
12.9387222,80.1030284,12.9396279,80.1061125,Kannadapalayam,Chennai,504,125,125,0.24801587301587302
12.8919986,80.2524004,12.8930579,80.246365,Sea Cliff Conclave,Sea Cliff Conclave,666,121,120,0.18018018018018017
12.9619013,80.0883355,12.9629143,80.0838097,Thirumudivakkam,Pazhanthandalam,511,102,101,0.19765166340508805
12.9629143,80.0838097,12.9619112,80.0882988,Pazhanthandalam,Thirumudivakkam,507,115,114,0.22485207100591717
13.0647611,80.0884724,13.0611611,80.0901984,Chennai,Poonamallee,502,108,108,0.2151394422310757
