start_lat,start_lon,end_lat,end_lon,start_area,end_area,distance_meters,duration_seconds,duration_in_traffic_seconds,duration_per_meter
13.0763573,80.2015481,13.0771022,80.2066573,Anna Nagar,Amaravathi Nagar,565,58,49,0.08672566371681416
13.0577844,80.2576907,13.0608212,80.2613762,Thousand Lights East,Anna Salai,520,64,42,0.08076923076923077
12.9209082,80.1121387,12.9177746,80.1084128,Ganapathipuram,West Tambaram,534,39,34,0.06367041198501873
12.9299684,80.1212568,12.9264852,80.1177381,West Tambaram,West Tambaram,541,68,50,0.09242144177449169
12.9012737,80.2486642,12.9005913,80.2532766,Akkarai,Sholinganallur,503,80,80,0.15904572564612326
12.905517,80.2492449,12.904883,80.2547024,Injambakkam,Injambakkam,590,148,140,0.23728813559322035
13.0826299,80.288992,13.0873506,80.2897242,Fort Saint George,Parrys,538,67,50,0.09293680297397769
13.0091943,80.2286092,13.0082459,80.2334763,Anna University,Anna University,538,49,49,0.09107806691449814
13.0082459,80.2334763,13.0073267,80.2380038,Anna University,Thoraipakkam,501,59,55,0.10978043912175649
12.9806818,80.2495031,12.9812926,80.2434345,Dr. Vasi Estate,IBMS,661,81,65,0.09833585476550681
12.9863017,80.2432971,12.9862919,80.2487748,Anbalagan Nagar,Tharamani,595,78,63,0.10588235294117647
13.092246,80.2695298,13.0936494,80.2736174,Periyamedu,Jutkapuram,527,105,92,0.174573055028463
13.0540537,80.2282332,13.0539651,80.2330448,Taylor Estate,Parthsarathy Puram,523,69,57,0.1089866156787763
13.0104614,80.2163283,13.0087515,80.2113572,Little Mount,Guindy Industrial Estate,574,64,47,0.08188153310104529
12.9972779,80.2164696,13.000809,80.2132959,Guindy,Maduvinkarai,522,81,68,0.13026819923371646
13.0736861,80.2853397,13.078669,80.2822838,Port Trust Officers Quarters,Port Trust Officers Quarters,674,71,59,0.08753709198813056
12.944719,80.1350306,12.9487999,80.1380521,Mahalakshmi Colony,New Colony,560,47,39,0.06964285714285715
13.0241281,80.2501257,13.0250127,80.2480774,RA Puram,Raja Annamalai Puram,713,137,156,0.2187938288920056
13.0258504,80.2484041,13.0234506,80.2496862,Raja Annamalai Puram,RA Puram,705,133,143,0.2028368794326241
12.9939188,80.185461,12.9910147,80.180964,National Airports Authority,National Airports Authority,587,57,45,0.07666098807495741
12.9910147,80.180964,12.9881813,80.1772959,National Airports Authority,National Airports Authority Colony,507,74,51,0.10059171597633136
13.1044141,80.2714042,13.0983333,80.2686015,Vasuki Nagar,Vasuki Nagar,792,98,91,0.1148989898989899
13.1027889,80.2947831,13.0980717,80.2936136,Chennai,Chennai Port Trust,541,56,49,0.09057301293900184
13.1071903,80.2691327,13.1109258,80.2656715,Vasuki Nagar,Kalyanapuram,557,49,42,0.07540394973070018
13.1021432,80.2603599,13.1039085,80.2560806,Pattalam,Binny Garden,526,62,52,0.09885931558935361
13.0579887,80.1601044,13.0546527,80.1559288,Metpar Nagar,Odamanagar,586,72,63,0.1075085324232082
13.0121486,80.2210646,13.0104614,80.2163283,Chennai,Little Mount,547,69,52,0.09506398537477148
13.0081079,80.2036735,13.0127638,80.2039554,Guindy Industrial Estate,Guindy Industrial Estate,521,42,36,0.0690978886756238
12.916394,80.1013942,12.922054,80.1006146,Annai Indra Nagar,Karummariamman Nagar,635,39,35,0.05511811023622047
12.922054,80.1006146,12.9268812,80.1000363,Karummariamman Nagar,Bharathi Nagar,540,32,28,0.05185185185185185
12.9268812,80.1000363,12.9317063,80.0995622,Bharathi Nagar,West Tambaram,539,30,26,0.04823747680890538
12.9317063,80.0995622,12.9365224,80.0992962,West Tambaram,West Tambaram,538,31,28,0.05204460966542751
12.9365224,80.0992962,12.9409784,80.1021074,West Tambaram,Kannadapalayam,599,34,30,0.05008347245409015
12.9409784,80.1021074,12.946944,80.1070093,Kannadapalayam,Chennai,869,49,42,0.04833141542002301
12.946944,80.1070093,12.9502541,80.1105517,Chennai,thirumangaialwarpuram,551,31,28,0.050816696914700546
12.9502541,80.1105517,12.9517041,80.1153308,thirumangaialwarpuram,Tiruneermalai,542,31,28,0.05166051660516605
12.9517041,80.1153308,12.9544797,80.1187643,Tiruneermalai,West Tambaram,506,28,25,0.04940711462450593
12.9544797,80.1187643,12.9595612,80.1192268,West Tambaram,Tiruneermalai,570,31,26,0.0456140350877193
12.9595612,80.1192268,12.965428,80.1189549,Tiruneermalai,Tiruneermalai,653,35,30,0.045941807044410414
12.965428,80.1189549,12.9717061,80.118635,Tiruneermalai,Thendral Nagar,699,38,33,0.04721030042918455
12.9717061,80.118635,12.9791332,80.1204199,Thendral Nagar,Chennai,851,46,41,0.0481786133960047
12.9791332,80.1204199,12.985136,80.1208968,Chennai,Chamundeshwari Nagar,670,36,31,0.04626865671641791
12.985136,80.1208968,12.9932258,80.1217073,Chamundeshwari Nagar,Sadanandapuram,904,50,44,0.048672566371681415
12.9932258,80.1217073,13.0014217,80.1263593,Sadanandapuram,Akash Nagar,1048,57,50,0.04770992366412214
13.0014217,80.1263593,13.0059067,80.1272489,Akash Nagar,Kovur Colony,512,30,25,0.048828125
13.0059067,80.1272489,13.0110224,80.1273385,Kovur Colony,Ambal Nagar II,569,34,31,0.054481546572934976
13.0110224,80.1273385,13.0151619,80.1299135,Ambal Nagar II,Rajappa Nagar,558,33,28,0.05017921146953405
13.0151619,80.1299135,13.0198868,80.1355268,Rajappa Nagar,Jyothi Nagar,804,48,40,0.04975124378109453
13.0198868,80.1355268,13.0238763,80.1404641,Jyothi Nagar,Govindaraj Nagar,695,39,33,0.04748201438848921
13.0238763,80.1404641,13.028341,80.1459896,Govindaraj Nagar,Ramanatheshwarar Nagar,774,46,40,0.05167958656330749
13.028341,80.1459896,13.0322796,80.1486501,Ramanatheshwarar Nagar,Porur Lake,529,33,30,0.05671077504725898
13.0322796,80.1486501,13.0390031,80.1492712,Porur Lake,Karambakkam,751,48,42,0.0559254327563249
12.917804,80.1013753,12.9139968,80.1018983,Periyar Nagar,Krishna Nagar,518,41,38,0.07335907335907337
13.0080965,80.2641297,13.0038713,80.264224,Urur,Custom Colony,528,90,82,0.1553030303030303
13.0038713,80.264224,13.0080965,80.2641297,Custom Colony,Urur,528,88,74,0.14015151515151514
13.1039903,80.2206577,13.1034269,80.2254378,ICF North Colony,Railway Colony,518,76,67,0.12934362934362933
13.1039903,80.2206577,13.1056849,80.216233,ICF North Colony,ICF North Colony,528,85,75,0.14204545454545456
13.1064344,80.2252926,13.103235,80.2296009,Seeyalam,Seeyalam,600,75,69,0.115
13.1064344,80.2252926,13.1087103,80.2261341,Seeyalam,Chitharanjan Colony,538,78,72,0.13382899628252787
13.0873133,80.2898644,13.0827928,80.2891572,Parrys,George Town,1342,217,200,0.14903129657228018
13.0668454,80.2674421,13.0660375,80.2627634,Anna Salai,Pudupet,518,93,73,0.14092664092664092
13.0066507,80.2427147,13.0072634,80.2381057,Indian Institute Of Technology,Guindy National Park,505,63,51,0.100990099009901
12.9917087,80.2336853,12.9957109,80.2356403,Indian Institute Of Technology,Indian Institute Of Technology,502,103,111,0.22111553784860558
12.9957109,80.2356403,12.9988085,80.2392581,Indian Institute Of Technology,Indian Institute Of Technology,541,94,87,0.16081330868761554
12.9988085,80.2392581,13.0034047,80.2403971,Indian Institute Of Technology,Guindy,526,91,89,0.16920152091254753
13.0641519,80.283516,13.0590258,80.2823433,PWD Estate,PWD Estate,585,66,52,0.08888888888888889
13.1842542,80.1921815,13.1801485,80.1940977,Vedakarai,Puzhal,504,52,43,0.08531746031746032
