Business Category,Count
Store,8990
Retail Store,7520
Restaurant/Cafe,3427
Health/Medical Service,2076
Financial Institution,2035
Places of Worship,1607
Educational Institution,836
Gym/Fitness Center,628
Lodging/Hotel,612
Car Dealers,554
Tourists Attraction,385
Gas Station,222
Library,209
Travel Service,76
Political Infrastructure,67
Car Service Centers,53
